district,campus,order,articulated_avg,unarticulated_avg
Compton Community College District,UCI,4,0.02,0.0
Compton Community College District,UCR,1,1.0,0.0
Compton Community College District,UCR,2,0.12,0.0
Compton Community College District,UCR,3,0.04,0.0
Compton Community College District,UCR,4,0.0,0.0
Contra Costa Community College District,UCD,1,4.0,0.0
Contra Costa Community College District,UCD,2,1.12,0.0
Contra Costa Community College District,UCD,3,0.32,0.0
Contra Costa Community College District,UCD,4,0.09,0.0
Contra Costa Community College District,UCM,1,5.0,0.0
Contra Costa Community College District,UCM,2,2.75,0.0
Contra Costa Community College District,UCM,3,2.18,0.0
Contra Costa Community College District,UCM,4,2.02,0.0
Contra Costa Community College District,UCSD,1,4.0,0.0
Contra Costa Community College District,UCSD,2,1.75,0.0
Contra Costa Community College District,UCSD,3,1.29,0.0
Contra Costa Community College District,UCSD,4,1.18,0.0
Contra Costa Community College District,UCSB,1,3.0,0.0
Contra Costa Community College District,UCSB,2,0.75,0.0
Contra Costa Community College District,UCSB,3,0.29,0.0
Contra Costa Community College District,UCSB,4,0.18,0.0
Contra Costa Community College District,UCLA,1,4.0,2.0
Contra Costa Community College District,UCLA,2,1.12,2.0
Contra Costa Community College District,UCLA,3,0.32,2.0
Contra Costa Community College District,UCLA,4,0.09,2.0
Contra Costa Community College District,UCB,1,3.0,0.0
Contra Costa Community College District,UCB,2,1.62,0.0
Contra Costa Community College District,UCB,3,1.21,0.0
Contra Costa Community College District,UCB,4,0.98,0.0
Contra Costa Community College District,UCSC,1,3.0,0.0
Contra Costa Community College District,UCSC,2,0.5,0.0
Contra Costa Community College District,UCSC,3,0.07,0.0
Contra Costa Community College District,UCSC,4,0.0,0.0
Contra Costa Community College District,UCI,1,4.0,0.0
Contra Costa Community College District,UCI,2,1.12,0.0
Contra Costa Community College District,UCI,3,0.32,0.0
Contra Costa Community College District,UCI,4,0.09,0.0
Contra Costa Community College District,UCR,1,1.0,0.0
Contra Costa Community College District,UCR,2,0.25,0.0
Contra Costa Community College District,UCR,3,0.11,0.0
Contra Costa Community College District,UCR,4,0.02,0.0
Copper Mountain Community College District,UCD,1,2.0,1.0
Copper Mountain Community College District,UCD,2,0.25,1.0
Copper Mountain Community College District,UCD,3,0.0,1.0
Copper Mountain Community College District,UCD,4,0.0,1.0
Copper Mountain Community College District,UCM,1,5.0,0.0
Copper Mountain Community College District,UCM,2,2.38,0.0
Copper Mountain Community College District,UCM,3,2.0,0.0
Copper Mountain Community College District,UCM,4,2.0,0.0
Copper Mountain Community College District,UCSD,1,5.0,0.0
Copper Mountain Community College District,UCSD,2,1.88,0.0
Copper Mountain Community College District,UCSD,3,1.21,0.0
Copper Mountain Community College District,UCSD,4,1.07,0.0
Copper Mountain Community College District,UCSB,1,4.0,0.0
Copper Mountain Community College District,UCSB,2,0.88,0.0
Copper Mountain Community College District,UCSB,3,0.21,0.0
Copper Mountain Community College District,UCSB,4,0.07,0.0
Copper Mountain Community College District,UCLA,1,4.0,2.0
Copper Mountain Community College District,UCLA,2,0.88,2.0
Copper Mountain Community College District,UCLA,3,0.21,2.0
Copper Mountain Community College District,UCLA,4,0.07,2.0
Copper Mountain Community College District,UCB,1,4.0,0.0
Copper Mountain Community College District,UCB,2,0.88,0.0
Copper Mountain Community College District,UCB,3,0.21,0.0
Copper Mountain Community College District,UCB,4,0.07,0.0
Copper Mountain Community College District,UCSC,1,3.0,0.0
Copper Mountain Community College District,UCSC,2,0.38,0.0
Copper Mountain Community College District,UCSC,3,0.0,0.0
Copper Mountain Community College District,UCSC,4,0.0,0.0
Copper Mountain Community College District,UCI,1,4.0,0.0
Copper Mountain Community College District,UCI,2,0.88,0.0
Copper Mountain Community College District,UCI,3,0.21,0.0
Copper Mountain Community College District,UCI,4,0.07,0.0
Copper Mountain Community College District,UCR,1,1.0,0.0
Copper Mountain Community College District,UCR,2,0.12,0.0
Copper Mountain Community College District,UCR,3,0.0,0.0
Copper Mountain Community College District,UCR,4,0.0,0.0
Desert Community College District,UCD,1,4.0,0.0
Desert Community College District,UCD,2,0.75,0.0
Desert Community College District,UCD,3,0.14,0.0
Desert Community College District,UCD,4,0.02,0.0
Desert Community College District,UCM,1,5.0,0.0
Desert Community College District,UCM,2,2.38,0.0
Desert Community College District,UCM,3,2.04,0.0
Desert Community College District,UCM,4,2.0,0.0
Desert Community College District,UCSD,1,5.0,0.0
Desert Community College District,UCSD,2,1.75,0.0
Desert Community College District,UCSD,3,1.14,0.0
Desert Community College District,UCSD,4,1.02,0.0
Desert Community College District,UCSB,1,3.0,0.0
Desert Community College District,UCSB,2,0.5,0.0
Desert Community College District,UCSB,3,0.11,0.0
Desert Community College District,UCSB,4,0.02,0.0
Desert Community College District,UCLA,1,4.0,2.0
Desert Community College District,UCLA,2,0.75,2.0
Desert Community College District,UCLA,3,0.14,2.0
Desert Community College District,UCLA,4,0.02,2.0
Desert Community College District,UCB,1,4.0,0.0
Desert Community College District,UCB,2,0.75,0.0
Desert Community College District,UCB,3,0.14,0.0
Desert Community College District,UCB,4,0.02,0.0
Desert Community College District,UCSC,1,3.0,0.0
Desert Community College District,UCSC,2,0.25,0.0
Desert Community College District,UCSC,3,0.0,0.0
Desert Community College District,UCSC,4,0.0,0.0
Desert Community College District,UCI,1,4.0,0.0
Desert Community College District,UCI,2,0.75,0.0
Desert Community College District,UCI,3,0.14,0.0
Desert Community College District,UCI,4,0.02,0.0
Desert Community College District,UCR,1,1.0,0.0
Desert Community College District,UCR,2,0.12,0.0
Desert Community College District,UCR,3,0.04,0.0
Desert Community College District,UCR,4,0.0,0.0
El Camino Community College District,UCD,1,4.0,0.0
El Camino Community College District,UCD,2,0.75,0.0
El Camino Community College District,UCD,3,0.14,0.0
El Camino Community College District,UCD,4,0.02,0.0
El Camino Community College District,UCM,1,5.0,0.0
El Camino Community College District,UCM,2,2.38,0.0
El Camino Community College District,UCM,3,2.04,0.0
El Camino Community College District,UCM,4,2.0,0.0
El Camino Community College District,UCSD,1,4.0,0.0
El Camino Community College District,UCSD,2,0.75,0.0
El Camino Community College District,UCSD,3,0.14,0.0
El Camino Community College District,UCSD,4,0.02,0.0
El Camino Community College District,UCSB,1,3.0,0.0
El Camino Community College District,UCSB,2,0.5,0.0
El Camino Community College District,UCSB,3,0.11,0.0
El Camino Community College District,UCSB,4,0.02,0.0
El Camino Community College District,UCLA,1,4.0,2.0
El Camino Community College District,UCLA,2,0.75,2.0
El Camino Community College District,UCLA,3,0.14,2.0
El Camino Community College District,UCLA,4,0.02,2.0
El Camino Community College District,UCB,1,4.0,0.0
El Camino Community College District,UCB,2,0.75,0.0
El Camino Community College District,UCB,3,0.14,0.0
El Camino Community College District,UCB,4,0.02,0.0
El Camino Community College District,UCSC,1,3.0,0.0
El Camino Community College District,UCSC,2,0.25,0.0
El Camino Community College District,UCSC,3,0.0,0.0
El Camino Community College District,UCSC,4,0.0,0.0
El Camino Community College District,UCI,1,4.0,0.0
El Camino Community College District,UCI,2,0.75,0.0
El Camino Community College District,UCI,3,0.14,0.0
El Camino Community College District,UCI,4,0.02,0.0
El Camino Community College District,UCR,1,1.0,0.0
El Camino Community College District,UCR,2,0.12,0.0
El Camino Community College District,UCR,3,0.04,0.0
El Camino Community College District,UCR,4,0.0,0.0
Feather River Community College District,UCD,1,4.0,0.0
Feather River Community College District,UCD,2,0.62,0.0
Feather River Community College District,UCD,3,0.11,0.0
Feather River Community College District,UCD,4,0.02,0.0
Feather River Community College District,UCM,1,5.0,0.0
Feather River Community College District,UCM,2,2.25,0.0
Feather River Community College District,UCM,3,2.0,0.0
Feather River Community College District,UCM,4,2.0,0.0
Feather River Community College District,UCSD,1,4.0,1.0
Feather River Community College District,UCSD,2,0.62,1.0
Feather River Community College District,UCSD,3,0.11,1.0
Feather River Community College District,UCSD,4,0.02,1.0
Feather River Community College District,UCSB,1,4.0,0.0
