district,campus,order,articulated_avg,unarticulated_avg
Contra Costa Community College District,UCLA,2,2.5,0.0
Contra Costa Community College District,UCLA,3,1.46,0.0
Contra Costa Community College District,UCLA,4,0.79,0.0
Contra Costa Community College District,UCB,1,5.0,0.0
Contra Costa Community College District,UCB,2,1.75,0.0
Contra Costa Community College District,UCB,3,0.93,0.0
Contra Costa Community College District,UCB,4,0.43,0.0
Contra Costa Community College District,UCSC,1,5.0,0.0
Contra Costa Community College District,UCSC,2,2.38,0.0
Contra Costa Community College District,UCSC,3,1.86,0.0
Contra Costa Community College District,UCSC,4,1.43,0.0
Contra Costa Community College District,UCI,1,4.0,1.0
Contra Costa Community College District,UCI,2,2.0,0.75
Contra Costa Community College District,UCI,3,2.0,0.54
Contra Costa Community College District,UCI,4,2.0,0.36
Contra Costa Community College District,UCR,1,4.0,0.0
Contra Costa Community College District,UCR,2,1.75,0.0
Contra Costa Community College District,UCR,3,1.5,0.0
Contra Costa Community College District,UCR,4,1.25,0.0
Copper Mountain Community College District,UCD,1,4.0,1.0
Copper Mountain Community College District,UCD,2,2.5,0.88
Copper Mountain Community College District,UCD,3,1.54,0.86
Copper Mountain Community College District,UCD,4,0.95,0.89
Copper Mountain Community College District,UCM,1,7.0,0.0
Copper Mountain Community College District,UCM,2,3.0,0.0
Copper Mountain Community College District,UCM,3,1.36,0.0
Copper Mountain Community College District,UCM,4,0.57,0.0
Copper Mountain Community College District,UCSD,1,5.0,2.0
Copper Mountain Community College District,UCSD,2,2.0,1.88
Copper Mountain Community College District,UCSD,3,0.93,1.86
Copper Mountain Community College District,UCSD,4,0.43,1.89
Copper Mountain Community College District,UCSB,1,7.0,0.0
Copper Mountain Community College District,UCSB,2,3.0,0.0
Copper Mountain Community College District,UCSB,3,1.36,0.0
Copper Mountain Community College District,UCSB,4,0.57,0.0
Copper Mountain Community College District,UCLA,1,5.0,1.0
Copper Mountain Community College District,UCLA,2,2.0,1.0
Copper Mountain Community College District,UCLA,3,0.93,1.0
Copper Mountain Community College District,UCLA,4,0.43,1.0
Copper Mountain Community College District,UCB,1,5.0,0.0
Copper Mountain Community College District,UCB,2,2.0,0.0
Copper Mountain Community College District,UCB,3,0.93,0.0
Copper Mountain Community College District,UCB,4,0.43,0.0
Copper Mountain Community College District,UCSC,1,4.0,1.0
Copper Mountain Community College District,UCSC,2,1.75,0.88
Copper Mountain Community College District,UCSC,3,1.11,0.86
Copper Mountain Community College District,UCSC,4,0.8,0.89
Copper Mountain Community College District,UCI,1,4.0,1.0
Copper Mountain Community College District,UCI,2,1.25,0.5
Copper Mountain Community College District,UCI,3,0.43,0.21
Copper Mountain Community College District,UCI,4,0.14,0.07
Copper Mountain Community College District,UCR,1,4.0,0.0
Copper Mountain Community College District,UCR,2,1.25,0.0
Copper Mountain Community College District,UCR,3,0.43,0.0
Copper Mountain Community College District,UCR,4,0.14,0.0
Desert Community College District,UCD,1,6.0,2.0
Desert Community College District,UCD,2,2.62,1.88
Desert Community College District,UCD,3,1.68,1.86
Desert Community College District,UCD,4,1.05,1.89
Desert Community College District,UCM,1,7.0,0.0
Desert Community College District,UCM,2,3.0,0.0
Desert Community College District,UCM,3,1.68,0.0
Desert Community College District,UCM,4,0.86,0.0
