scenario_id,district_index,district,region,unit_system,reachable_count,reachable_codes,portfolio_mask,portfolio_size,portfolio_codes,status,course_status,prerequisite_status,schedule_status,role_attribution_status,course_result_quality,schedule_result_quality,distinct_courses,major_course_count,prerequisite_course_count,colleges_used,semester_equiv_units,min_terms,lower_bound_terms,upper_bound_terms,academic_years,exact_only_overlap_savings_courses,bounded_sensitivity_overlap_savings_courses,computation_elapsed_ms
3:192,3,Butte-Glenn Community College District,Northern,semester,5,UCR|UCB|UCSB|UCSC|UCM,192,2,UCSB|UCSC,optimal,optimal,complete,optimal,optimal,exact,exact,9,8,1,1,32,5,5,5,2.5,5,5,2
3:258,3,Butte-Glenn Community College District,Northern,semester,5,UCR|UCB|UCSB|UCSC|UCM,258,2,UCR|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,11,11,0,1,41,5,5,5,2.5,7,7,53
3:260,3,Butte-Glenn Community College District,Northern,semester,5,UCR|UCB|UCSB|UCSC|UCM,260,2,UCB|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,12,12,0,1,45,5,5,5,2.5,9,9,84
3:320,3,Butte-Glenn Community College District,Northern,semester,5,UCR|UCB|UCSB|UCSC|UCM,320,2,UCSB|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,12,12,0,1,44,5,5,5,2.5,7,7,8
3:384,3,Butte-Glenn Community College District,Northern,semester,5,UCR|UCB|UCSB|UCSC|UCM,384,2,UCSC|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,13,13,0,1,47,5,5,5,2.5,4,4,31
3:70,3,Butte-Glenn Community College District,Northern,semester,5,UCR|UCB|UCSB|UCSC|UCM,70,3,UCR|UCB|UCSB,optimal,optimal,complete,optimal,optimal,exact,exact,13,13,0,1,48,5,5,5,2.5,12,12,12
3:134,3,Butte-Glenn Community College District,Northern,semester,5,UCR|UCB|UCSB|UCSC|UCM,134,3,UCR|UCB|UCSC,optimal,optimal,complete,optimal,optimal,exact,exact,14,14,0,1,51,5,5,5,2.5,9,9,17
3:194,3,Butte-Glenn Community College District,Northern,semester,5,UCR|UCB|UCSB|UCSC|UCM,194,3,UCR|UCSB|UCSC,optimal,optimal,complete,optimal,optimal,exact,exact,11,10,1,1,40,5,5,5,2.5,10,10,3
3:196,3,Butte-Glenn Community College District,Northern,semester,5,UCR|UCB|UCSB|UCSC|UCM,196,3,UCB|UCSB|UCSC,optimal,optimal,complete,optimal,optimal,exact,exact,14,14,0,1,51,5,5,5,2.5,10,10,39
3:262,3,Butte-Glenn Community College District,Northern,semester,5,UCR|UCB|UCSB|UCSC|UCM,262,3,UCR|UCB|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,12,12,0,1,45,5,5,5,2.5,16,16,120
3:322,3,Butte-Glenn Community College District,Northern,semester,5,UCR|UCB|UCSB|UCSC|UCM,322,3,UCR|UCSB|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,12,12,0,1,44,5,5,5,2.5,14,14,9
3:324,3,Butte-Glenn Community College District,Northern,semester,5,UCR|UCB|UCSB|UCSC|UCM,324,3,UCB|UCSB|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,13,13,0,1,48,5,5,5,2.5,16,16,12
3:386,3,Butte-Glenn Community College District,Northern,semester,5,UCR|UCB|UCSB|UCSC|UCM,386,3,UCR|UCSC|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,13,13,0,1,47,5,5,5,2.5,11,11,42
3:388,3,Butte-Glenn Community College District,Northern,semester,5,UCR|UCB|UCSB|UCSC|UCM,388,3,UCB|UCSC|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,14,14,0,1,51,5,5,5,2.5,13,13,70
3:448,3,Butte-Glenn Community College District,Northern,semester,5,UCR|UCB|UCSB|UCSC|UCM,448,3,UCSB|UCSC|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,13,13,0,1,47,5,5,5,2.5,12,12,9
3:198,3,Butte-Glenn Community College District,Northern,semester,5,UCR|UCB|UCSB|UCSC|UCM,198,4,UCR|UCB|UCSB|UCSC,optimal,optimal,complete,optimal,optimal,exact,exact,14,14,0,1,51,5,5,5,2.5,17,17,12
3:326,3,Butte-Glenn Community College District,Northern,semester,5,UCR|UCB|UCSB|UCSC|UCM,326,4,UCR|UCB|UCSB|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,13,13,0,1,48,5,5,5,2.5,23,23,21
3:390,3,Butte-Glenn Community College District,Northern,semester,5,UCR|UCB|UCSB|UCSC|UCM,390,4,UCR|UCB|UCSC|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,14,14,0,1,51,5,5,5,2.5,20,20,91
3:450,3,Butte-Glenn Community College District,Northern,semester,5,UCR|UCB|UCSB|UCSC|UCM,450,4,UCR|UCSB|UCSC|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,13,13,0,1,47,5,5,5,2.5,19,19,8
3:452,3,Butte-Glenn Community College District,Northern,semester,5,UCR|UCB|UCSB|UCSC|UCM,452,4,UCB|UCSB|UCSC|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,14,14,0,1,51,5,5,5,2.5,21,21,12
3:454,3,Butte-Glenn Community College District,Northern,semester,5,UCR|UCB|UCSB|UCSC|UCM,454,5,UCR|UCB|UCSB|UCSC|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,14,14,0,1,51,5,5,5,2.5,28,28,18
4:2,4,Cabrillo Community College District,Bay Area,semester,7,UCR|UCB|UCD|UCI|UCSB|UCSC|UCM,2,1,UCR,optimal,optimal,complete,optimal,optimal,exact,exact,8,8,0,1,35,3,3,3,1.5,0,0,57
4:4,4,Cabrillo Community College District,Bay Area,semester,7,UCR|UCB|UCD|UCI|UCSB|UCSC|UCM,4,1,UCB,optimal,optimal,complete,optimal,optimal,exact,exact,10,10,0,1,42,5,5,5,2.5,0,0,512
4:8,4,Cabrillo Community College District,Bay Area,semester,7,UCR|UCB|UCD|UCI|UCSB|UCSC|UCM,8,1,UCD,optimal,optimal,complete,optimal,optimal,exact,exact,9,9,0,1,38,4,4,4,2,0,0,4
4:32,4,Cabrillo Community College District,Bay Area,semester,7,UCR|UCB|UCD|UCI|UCSB|UCSC|UCM,32,1,UCI,optimal,optimal,complete,optimal,optimal,exact,exact,5,5,0,1,22,2,2,2,1,0,0,1
4:64,4,Cabrillo Community College District,Bay Area,semester,7,UCR|UCB|UCD|UCI|UCSB|UCSC|UCM,64,1,UCSB,optimal,optimal,complete,optimal,optimal,exact,exact,9,7,2,1,37,5,5,5,2.5,0,0,2
4:128,4,Cabrillo Community College District,Bay Area,semester,7,UCR|UCB|UCD|UCI|UCSB|UCSC|UCM,128,1,UCSC,optimal,optimal,complete,optimal,optimal,exact,exact,6,5,1,1,26,3,3,3,1.5,0,0,6
4:256,4,Cabrillo Community College District,Bay Area,semester,7,UCR|UCB|UCD|UCI|UCSB|UCSC|UCM,256,1,UCM,optimal,optimal,complete,optimal,optimal,exact,exact,12,11,1,1,49,5,5,5,2.5,0,0,161
